folio,idformadepago,importe
176,EF,260.0
177,MC,415.0
179,EF,240.0
180,EF,220.0
181,EF,210.0
182,EF,600.0
183,VISA,970.0
184,EF,470.0
178,VISA,690.0
185,EF,210.0
187,EF,725.0
188,VISA,250.0
189,MC,625.0
190,MC,200.0
193,EF,130.0
194,EF,260.0
192,EF,0.0
195,EF,0.0
196,EF,0.0
200,EF,510.0
209,EF,170.0
210,EF,210.0
202,EF,480.0
211,EF,510.0
207,EF,0.0
212,EF,500.0
213,EF,0.0
205,VISA,945.0
203,EF,690.0
191,EF,230.0
197,EF,360.0
198,EF,210.0
199,EF,410.0
201,EF,405.0
204,EF,250.0
208,EF,1685.0
206,EF,380.0
216,EF,170.0
220,VISA,485.0
217,EF,170.0
221,EF,290.0
215,EF,0.0
219,EF,730.0
218,EF,490.0
229,EF,260.0
228,EF,480.0
232,EF,490.0
223,EF,150.0
223,MC,150.0
225,EF,210.0
226,EF,220.0
227,EF,170.0
222,EF,210.0
224,EF,340.0
230,EF,170.0
231,EF,440.0
239,EF,290.0
240,EF,345.0
247,EF,25.0
245,EF,585.0
241,VISA,595.0
248,EF,400.0
244,EF,375.0
243,EF,355.0
242,EF,395.0
246,EF,260.0
249,EF,210.0
250,EF,210.0
233,EF,120.0
234,EF,770.0
238,EF,290.0
236,EF,210.0
235,EF,440.0
237,EF,395.0
252,EF,405.0
253,EF,970.0
254,EF,210.0
255,EF,640.0
256,EF,360.0
257,VISA,605.0
258,EF,200.0
259,EF,450.0
260,EF,0.0
261,EF,200.0
262,VISA,580.0
263,EF,170.0
264,EF,1245.0
265,VISA,650.0
266,VISA,210.0
267,EF,220.0
268,VISA,595.0
269,EF,380.0
270,EF,220.0
271,EF,230.0
272,EF,500.0
273,EF,480.0
274,EF,825.0
275,EF,0.0
276,EF,170.0
277,EF,230.0
278,EF,505.0
279,EF,1115.0
280,EF,460.0
281,EF,210.0
282,EF,240.0
283,EF,200.0
284,EF,170.0
285,EF,340.0
286,EF,210.0
287,EF,230.0
288,EF,200.0
289,EF,200.0
290,EF,230.0
291,EF,400.0
292,EF,410.0
293,EF,200.0
294,EF,1190.0
295,VISA,130.0
296,EF,840.0
297,EF,170.0
298,EF,200.0
299,EF,170.0
300,EF,230.0
301,EF,470.0
302,EF,305.0
303,EF,470.0
304,MC,1700.0
305,EF,375.0
306,EF,697.5
306,VISA,697.5
307,EF,590.0
308,VISA,475.0
309,EF,305.0
310,EF,735.0
311,EF,650.0
312,VISA,470.0
313,EF,535.0
314,EF,195.0
315,EF,190.0
316,EF,210.0
318,EF,670.0
319,EF,700.0
320,EF,270.0
321,EF,370.0
341,VISA,170.0
338,EF,355.0
343,EF,395.0
342,EF,200.0
349,EF,155.0
351,EF,550.0
345,EF,350.0
344,EF,380.0
346,EF,615.0
353,EF,200.0
355,EF,320.0
352,EF,550.0
367,EF,460.0
333,VISA,575.0
327,EF,170.0
328,EF,200.0
329,VISA,240.0
323,EF,800.0
322,EF,220.0
331,EF,170.0
330,EF,1205.0
332,VISA,430.0
324,EF,220.0
326,EF,290.0
325,EF,965.0
337,EF,400.0
334,VISA,545.0
335,VISA,775.0
336,EF,320.0
350,VISA,290.0
356,VISA,395.0
360,EF,170.0
358,EF,260.0
359,EF,200.0
357,EF,390.0
354,EF,310.0
363,EF,1055.0
364,VISA,280.0
361,EF,510.0
362,EF,240.0
365,EF,340.0
366,VISA,2305.0
347,VISA,260.0
348,EF,170.0
339,EF,195.0
340,EF,260.0
368,EF,420.0
370,EF,330.0
372,EF,405.0
371,EF,120.0
374,EF,170.0
374,VISA,590.0
375,EF,200.0
373,EF,230.0
378,EF,20.0
381,EF,450.0
380,EF,600.0
384,EF,785.0
387,EF,200.0
382,EF,330.0
386,EF,170.0
385,VISA,920.0
388,EF,40.0
390,EF,410.0
391,EF,200.0
398,EF,90.0
399,EF,290.0
393,EF,685.0
392,EF,170.0
394,EF,370.0
403,EF,240.0
389,EF,235.0
389,MC,225.0
379,EF,480.0
377,EF,170.0
376,EF,610.0
383,EF,445.0
396,EF,365.0
400,EF,400.0
397,EF,200.0
397,MC,225.0
402,EF,335.0
404,EF,170.0
395,EF,365.0
401,EF,1095.0
405,EF,320.0
406,EF,275.0
411,EF,415.0
412,EF,265.0
415,EF,460.0
416,EF,400.0
409,EF,230.0
414,EF,300.0
408,EF,210.0
420,EF,330.0
413,EF,1390.0
417,EF,190.0
410,EF,230.0
418,EF,460.0
419,EF,210.0
422,EF,210.0
424,EF,210.0
427,VISA,230.0
423,EF,555.0
428,VISA,210.0
432,EF,470.0
433,VISA,360.0
430,EF,210.0
425,EF,230.0
429,EF,505.0
431,EF,250.0
426,EF,170.0
434,VISA,330.0
437,EF,455.0
439,EF,610.0
446,EF,300.0
447,EF,230.0
445,EF,395.0
459,EF,220.0
460,EF,320.0
463,EF,230.0
458,EF,190.0
440,EF,260.0
441,EF,170.0
442,EF,170.0
443,EF,210.0
444,EF,200.0
448,EF,170.0
438,EF,0.0
449,EF,310.0
450,EF,330.0
451,EF,350.0
452,EF,210.0
453,EF,330.0
464,EF,330.0
465,EF,195.0
466,EF,260.0
462,VISA,395.0
468,EF,375.0
467,VISA,425.0
461,EF,2155.0
469,EF,1935.0
471,EF,310.0
472,EF,70.0
473,EF,295.0
474,VISA,455.0
470,EF,850.0
457,EF,200.0
456,EF,230.0
455,EF,170.0
454,EF,0.0
436,EF,200.0
476,EF,310.0
477,EF,535.0
485,EF,230.0
483,EF,1835.0
487,VISA,340.0
486,EF,1985.0
478,VISA,380.0
479,EF,200.0
480,EF,200.0
481,EF,0.0
484,VISA,170.0
489,EF,365.0
490,EF,280.0
493,EF,870.0
491,EF,715.0
492,EF,210.0
496,EF,90.0
494,EF,700.0
495,EF,210.0
499,EF,320.0
497,EF,170.0
501,EF,315.0
504,EF,660.0
498,EF,200.0
505,EF,560.0
503,EF,170.0
506,EF,210.0
500,EF,210.0
502,EF,230.0
508,EF,170.0
507,EF,195.0
509,EF,170.0
511,EF,360.0
510,EF,470.0
514,EF,405.0
516,EF,780.0
512,EF,300.0
513,EF,460.0
520,EF,190.0
521,VISA,445.0
515,EF,400.0
522,VISA,520.0
517,EF,230.0
518,EF,230.0
519,EF,985.0
523,VISA,505.0
525,EF,200.0
526,VISA,470.0
524,EF,230.0
529,VISA,290.0
530,EF,435.0
532,EF,905.0
533,EF,585.0
528,EF,365.0
527,EF,225.0
531,EF,340.0
536,EF,210.0
537,VISA,295.0
535,EF,360.0
539,EF,500.0
540,EF,500.0
538,EF,200.0
542,EF,285.0
541,EF,665.0
543,EF,230.0
544,EF,210.0
545,EF,230.0
547,EF,360.0
548,EF,240.0
550,EF,220.0
549,EF,600.0
546,EF,305.0
554,EF,480.0
551,EF,250.0
552,EF,340.0
553,EF,365.0
556,EF,665.0
557,EF,320.0
555,EF,200.0
560,VISA,315.0
558,EF,370.0
559,EF,230.0
561,VISA,590.0
563,EF,170.0
566,EF,300.0
564,EF,775.0
562,EF,170.0
570,EF,630.0
568,EF,210.0
567,VISA,400.0
565,EF,225.0
572,VISA,640.0
569,EF,230.0
573,EF,190.0
571,EF,440.0
575,VISA,550.0
574,EF,250.0
576,VISA,665.0
577,EF,210.0
578,EF,260.0
580,EF,285.0
581,VISA,455.0
579,EF,195.0
582,VISA,910.0
583,EF,790.0
584,EF,170.0
585,VISA,425.0
586,VISA,1145.0
588,EF,340.0
587,VISA,820.0
676,EF,340.0
677,VISA,635.0
678,EF,635.0
679,EF,180.0
681,EF,210.0
680,EF,340.0
682,EF,190.0
684,VISA,710.0
683,EF,190.0
685,EF,195.0
689,EF,230.0
691,EF,875.0
690,EF,170.0
693,EF,210.0
692,EF,460.0
687,EF,270.0
688,EF,20.0
686,EF,0.0
1096,EF,220.0
1097,EF,210.0
1100,EF,130.0
1103,EF,170.0
1104,EF,330.0
1106,EF,390.0
1099,EF,305.0
1098,EF,625.0
1109,VISA,340.0
1108,EF,290.0
1113,EF,530.0
1107,EF,932.5
1105,EF,170.0
1101,EF,500.0
1115,EF,170.0
1117,EF,170.0
1119,VISA,200.0
1111,EF,195.0
1110,EF,360.0
1114,EF,470.0
1121,EF,485.0
1123,VISA,25.0
1116,EF,200.0
1112,EF,450.0
1122,VISA,545.0
1120,EF,830.0
1118,VISA,490.0
1125,EF,120.0
1125,VISA,210.0
1126,EF,410.0
1124,VISA,620.0
1127,VISA,345.0
1130,EF,210.0
1132,VISA,1170.0
1135,EF,170.0
1138,EF,210.0
1134,EF,620.0
1133,VISA,335.0
1128,EF,365.0
1141,VISA,685.0
1137,EF,210.0
1131,EF,420.0
1136,EF,400.0
1139,EF,240.0
1129,VISA,720.0
1140,EF,440.0
1142,EF,440.0
1145,EF,535.0
1143,EF,380.0
1146,VISA,665.0
1148,EF,380.0
1149,EF,480.0
1144,EF,260.0
1147,EF,260.0
1152,VISA,345.0
1153,EF,90.0
1150,EF,170.0
1154,EF,210.0
1151,EF,210.0
1102,EF,350.0
1156,EF,210.0
1159,EF,210.0
1161,EF,300.0
1162,EF,410.0
1163,VISA,540.0
1158,EF,170.0
1157,EF,440.0
1165,EF,490.0
1164,EF,755.0
1168,EF,210.0
1166,EF,230.0
1167,EF,480.0
1170,EF,300.0
1169,EF,485.0
1160,EF,170.0
1173,EF,210.0
1172,EF,360.0
1179,EF,340.0
1180,EF,615.0
1181,EF,370.0
1174,EF,370.0
1175,EF,170.0
1176,EF,380.0
1178,VISA,300.0
1177,EF,430.0
1182,EF,210.0
1185,VISA,1020.0
1183,EF,970.0
1184,EF,1185.0
1203,VISA,435.0
1202,VISA,250.0
1187,EF,170.0
1188,EF,400.0
1189,EF,435.0
1193,EF,170.0
1194,VISA,170.0
1195,VISA,195.0
1190,EF,380.0
1191,EF,460.0
1196,EF,170.0
1192,EF,370.0
1197,EF,340.0
1201,EF,305.0
1200,EF,170.0
1198,EF,240.0
1199,VISA,170.0
1208,EF,170.0
1209,VISA,445.0
1210,VISA,580.0
1207,EF,230.0
1211,VISA,900.0
1212,EF,265.0
1213,EF,200.0
1215,VISA,170.0
1216,VISA,410.0
1217,VISA,210.0
1214,EF,210.0
1226,EF,400.0
1224,EF,170.0
591,EF,170.0
595,VISA,170.0
590,EF,520.0
598,VISA,615.0
594,EF,315.0
593,EF,190.0
592,EF,340.0
600,VISA,565.0
596,EF,210.0
597,EF,285.0
599,EF,195.0
603,VISA,210.0
602,VISA,260.0
601,EF,235.0
605,EF,510.0
608,EF,230.0
606,EF,645.0
607,EF,290.0
610,EF,550.0
609,EF,640.0
615,EF,350.0
611,EF,290.0
612,EF,830.0
613,EF,170.0
614,EF,210.0
616,EF,510.0
619,EF,560.0
617,EF,230.0
620,EF,390.0
625,EF,630.0
618,EF,295.0
623,EF,380.0
622,EF,400.0
628,VISA,810.0
630,VISA,195.0
624,VISA,210.0
631,VISA,170.0
626,EF,260.0
634,EF,230.0
629,EF,170.0
635,VISA,365.0
627,EF,635.0
621,EF,400.0
632,EF,230.0
633,EF,170.0
636,EF,320.0
638,EF,340.0
641,EF,200.0
639,EF,170.0
637,EF,285.0
637,VISA,315.0
640,EF,365.0
642,EF,350.0
604,VISA,210.0
647,EF,310.0
648,EF,630.0
649,VISA,1570.0
650,EF,215.0
651,EF,315.0
652,EF,230.0
653,EF,430.0
644,EF,0.0
645,EF,0.0
646,EF,0.0
654,EF,330.0
655,VISA,340.0
657,EF,210.0
658,EF,370.0
656,EF,230.0
660,EF,130.0
659,EF,230.0
661,VISA,270.0
662,VISA,375.0
663,EF,230.0
665,EF,230.0
666,EF,290.0
667,EF,700.0
668,EF,270.0
669,EF,530.0
670,EF,225.0
671,EF,170.0
674,EF,230.0
672,EF,480.0
673,EF,190.0
695,EF,0.0
696,EF,685.0
697,VISA,455.0
698,EF,285.0
699,EF,200.0
700,VISA,380.0
701,EF,455.0
702,EF,240.0
703,EF,640.0
704,EF,170.0
705,EF,170.0
706,EF,260.0
707,EF,230.0
708,EF,170.0
709,VISA,410.0
710,EF,170.0
711,VISA,510.0
712,VISA,565.0
713,EF,710.0
714,EF,785.0
715,EF,420.0
716,EF,345.0
717,EF,200.0
718,EF,250.0
719,EF,700.0
720,EF,495.0
721,VISA,330.0
723,EF,210.0
724,EF,210.0
725,EF,230.0
726,EF,370.0
727,EF,230.0
728,EF,20.0
728,VISA,530.0
729,EF,220.0
730,EF,170.0
731,EF,330.0
732,EF,480.0
733,EF,170.0
734,EF,680.0
735,EF,230.0
736,EF,210.0
737,EF,415.0
738,EF,170.0
739,EF,340.0
740,EF,305.0
741,EF,210.0
742,EF,170.0
743,EF,0.0
744,EF,340.0
745,EF,340.0
746,EF,170.0
747,EF,210.0
748,EF,240.0
749,EF,545.0
750,EF,440.0
751,EF,370.0
752,EF,210.0
753,EF,210.0
754,EF,560.0
755,EF,1145.0
756,EF,230.0
757,EF,0.0
758,EF,360.0
759,EF,50.0
760,EF,380.0
761,EF,200.0
762,EF,210.0
763,EF,400.0
764,VISA,375.0
765,EF,430.0
766,VISA,280.0
767,EF,1285.0
768,EF,540.0
769,EF,565.0
770,EF,0.0
771,EF,0.0
772,EF,170.0
774,EF,1120.0
778,EF,1170.0
775,EF,0.0
776,EF,220.0
777,EF,380.0
779,VISA,435.0
780,EF,385.0
783,EF,400.0
785,EF,320.0
784,EF,555.0
782,EF,430.0
781,EF,870.0
786,VISA,415.0
793,VISA,615.0
787,EF,170.0
789,EF,170.0
788,EF,400.0
794,EF,210.0
795,EF,200.0
798,EF,660.0
796,EF,670.0
799,EF,220.0
797,EF,440.0
801,EF,230.0
802,EF,380.0
805,EF,640.0
803,EF,210.0
812,EF,1070.0
812,VISA,230.0
804,EF,0.0
813,EF,260.0
814,EF,170.0
806,EF,290.0
807,EF,790.0
810,EF,390.0
820,EF,170.0
815,EF,520.0
811,VISA,170.0
809,EF,290.0
808,EF,170.0
800,EF,210.0
817,EF,340.0
821,EF,210.0
822,VISA,540.0
818,EF,350.0
823,EF,230.0
824,EF,490.0
825,VISA,270.0
826,VISA,230.0
827,EF,460.0
829,VISA,600.0
828,EF,705.0
830,EF,315.0
831,EF,515.0
833,EF,610.0
834,EF,520.0
832,EF,965.0
791,EF,195.0
790,EF,170.0
792,EF,195.0
819,EF,840.0
816,EF,330.0
836,VISA,620.0
837,VISA,195.0
838,VISA,520.0
839,EF,760.0
840,EF,400.0
841,EF,170.0
842,VISA,170.0
843,EF,380.0
844,EF,170.0
845,EF,220.0
846,EF,250.0
847,EF,590.0
848,EF,170.0
849,VISA,210.0
850,EF,170.0
851,EF,200.0
852,EF,0.0
853,EF,330.0
854,EF,170.0
855,EF,195.0
856,EF,170.0
857,EF,770.0
858,EF,260.0
859,EF,505.0
860,EF,320.0
861,EF,170.0
862,EF,625.0
863,EF,805.0
864,EF,1085.0
865,EF,0.0
866,VISA,485.0
867,EF,500.0
868,EF,230.0
869,EF,460.0
870,VISA,535.0
871,EF,220.0
872,EF,195.0
873,EF,365.0
874,EF,1315.0
875,VISA,725.0
876,EF,255.0
877,EF,200.0
878,VISA,330.0
879,VISA,1180.0
880,EF,300.0
881,EF,430.0
882,EF,210.0
883,EF,0.0
884,EF,0.0
885,EF,435.0
886,EF,210.0
887,EF,290.0
888,EF,320.0
889,EF,210.0
890,EF,210.0
891,EF,340.0
892,EF,340.0
893,EF,230.0
894,EF,200.0
895,EF,0.0
896,EF,365.0
897,EF,210.0
898,EF,170.0
899,EF,430.0
900,EF,170.0
901,EF,400.0
902,EF,210.0
903,VISA,170.0
904,EF,290.0
905,EF,290.0
906,VISA,540.0
907,EF,440.0
908,VISA,210.0
909,EF,170.0
910,EF,170.0
911,EF,265.0
912,VISA,425.0
913,EF,440.0
914,EF,780.0
916,EF,315.0
917,EF,410.0
918,EF,200.0
919,EF,310.0
920,EF,230.0
921,EF,360.0
922,EF,100.0
923,EF,430.0
924,EF,500.0
925,EF,210.0
927,VISA,805.0
928,VISA,190.0
926,VISA,230.0
929,VISA,420.0
932,EF,0.0
931,EF,0.0
934,EF,410.0
933,EF,320.0
935,EF,130.0
936,EF,170.0
937,EF,230.0
941,EF,200.0
938,EF,380.0
942,EF,1020.0
943,EF,350.0
940,EF,170.0
939,EF,230.0
944,EF,500.0
945,EF,415.0
948,VISA,695.0
947,VISA,195.0
949,EF,335.0
951,EF,200.0
952,EF,230.0
950,EF,340.0
953,VISA,210.0
954,EF,170.0
960,EF,230.0
956,EF,200.0
957,EF,395.0
958,EF,885.0
959,EF,260.0
955,EF,1405.0
961,EF,250.0
963,EF,90.0
964,EF,170.0
966,EF,400.0
967,VISA,375.0
975,EF,210.0
973,VISA,470.0
977,EF,225.0
969,EF,230.0
971,EF,200.0
974,VISA,170.0
970,EF,260.0
968,EF,350.0
976,EF,195.0
972,EF,230.0
978,EF,170.0
979,EF,340.0
982,EF,250.0
983,EF,445.0
983,VISA,260.0
984,EF,2125.0
984,VISA,400.0
981,EF,320.0
980,EF,0.0
985,EF,465.0
987,EF,370.0
989,EF,380.0
994,EF,460.0
988,EF,460.0
990,EF,540.0
995,EF,335.0
993,VISA,550.0
992,EF,120.0
991,EF,170.0
999,VISA,270.0
1000,EF,170.0
998,EF,260.0
1001,EF,0.0
1002,EF,170.0
1003,EF,300.0
997,EF,820.0
1004,EF,170.0
1006,EF,260.0
1005,EF,210.0
1010,EF,0.0
1013,VISA,170.0
1014,EF,320.0
996,VISA,665.0
1016,EF,340.0
1021,EF,290.0
1018,EF,330.0
1017,EF,300.0
1012,EF,170.0
1009,EF,210.0
1011,EF,350.0
1007,EF,290.0
1019,EF,360.0
1022,EF,170.0
1023,VISA,230.0
1015,EF,570.0
1008,EF,325.0
1026,AMEX,140.0
1026,VISA,275.0
1028,VISA,395.0
1029,EF,410.0
1030,VISA,565.0
1025,EF,170.0
1031,EF,440.0
1020,EF,170.0
1032,EF,540.0
1024,EF,340.0
1027,VISA,230.0
1034,EF,170.0
1036,EF,260.0
1039,EF,460.0
1035,EF,410.0
1038,EF,250.0
1042,EF,360.0
1037,EF,405.0
1040,EF,195.0
1041,EF,210.0
1043,EF,170.0
1047,EF,305.0
2236,EF,310.0
2237,EF,190.0
2239,EF,195.0
2238,EF,740.0
2240,EF,905.0
2242,EF,410.0
2243,EF,360.0
2244,EF,650.0
2250,EF,230.0
2247,EF,210.0
2249,EF,420.0
2254,EF,290.0
2245,VISA,340.0
2256,VISA,280.0
2252,EF,440.0
2265,EF,380.0
2267,EF,1375.0
2272,VISA,410.0
2270,EF,170.0
2279,EF,170.0
2278,EF,530.0
2271,EF,1365.0
2276,EF,0.0
2277,EF,600.0
2280,EF,195.0
2283,EF,230.0
2281,EF,200.0
2284,EF,340.0
2289,EF,1525.0
2290,EF,1020.0
2291,EF,340.0
2292,EF,600.0
2292,VISA,800.0
2264,EF,820.0
2214,EF,240.0
2213,EF,210.0
2215,EF,305.0
2219,EF,340.0
2220,EF,1060.0
2221,VISA,485.0
2216,EF,410.0
2222,EF,300.0
2223,EF,170.0
2218,VISA,1335.0
2226,VISA,565.0
2217,EF,210.0
2229,EF,170.0
2231,VISA,310.0
2225,EF,580.0
2224,EF,830.0
2235,EF,275.0
2227,EF,850.0
2230,EF,260.0
2233,EF,655.0
2234,EF,330.0
2232,EF,275.0
2228,EF,170.0
2241,EF,425.0
2241,VISA,200.0
2246,VISA,230.0
2248,EF,230.0
2251,EF,350.0
2253,EF,210.0
2257,EF,170.0
2258,EF,1065.0
2255,VISA,460.0
2260,VISA,350.0
2259,EF,195.0
2266,EF,380.0
2261,EF,400.0
2263,EF,200.0
2268,EF,210.0
2269,EF,200.0
2273,EF,330.0
2274,EF,190.0
2262,EF,330.0
2275,EF,580.0
2282,EF,210.0
2285,EF,295.0
2285,MC,1250.0
2286,EF,360.0
2286,VISA,150.0
2287,EF,500.0
2287,MC,475.0
2288,EF,495.0
2293,EF,480.0
2299,EF,170.0
2297,EF,170.0
2295,EF,445.0
2296,VISA,510.0
2298,EF,610.0
2301,VISA,570.0
2303,EF,510.0
2304,VISA,435.0
2307,VISA,325.0
2309,VISA,490.0
2306,EF,410.0
2305,EF,870.0
2308,EF,370.0
2310,EF,240.0
2312,EF,170.0
2316,VISA,210.0
2317,EF,335.0
2313,EF,470.0
2315,EF,210.0
2319,EF,380.0
2314,EF,395.0
2321,EF,540.0
2320,EF,240.0
2322,EF,380.0
2324,EF,320.0
2323,EF,495.0
2325,EF,170.0
2327,EF,230.0
2331,EF,440.0
2332,EF,650.0
2338,EF,240.0
2342,EF,460.0
2343,EF,170.0
2335,EF,400.0
2333,EF,360.0
2336,EF,230.0
2337,EF,235.0
2349,VISA,340.0
2334,VISA,665.0
2351,VISA,40.0
2356,EF,445.0
2347,EF,340.0
2360,VISA,1290.0
2361,VISA,550.0
2358,EF,310.0
2357,EF,230.0
2362,EF,200.0
2359,EF,240.0
2365,EF,525.0
2364,EF,320.0
2364,VISA,400.0
2363,EF,170.0
2345,EF,350.0
2346,EF,470.0
2339,EF,500.0
2300,EF,640.0
2302,EF,400.0
2311,VISA,730.0
2318,EF,380.0
2326,EF,370.0
2330,EF,500.0
2328,EF,425.0
2329,EF,260.0
2344,VISA,550.0
2341,EF,170.0
2340,EF,210.0
2355,EF,265.0
2348,EF,190.0
2350,EF,170.0
2353,EF,195.0
2354,EF,200.0
2369,VISA,505.0
2370,EF,220.0
2368,EF,790.0
2375,EF,210.0
2376,EF,435.0
2377,EF,280.0
2378,VISA,170.0
2379,EF,170.0
2372,EF,340.0
2380,EF,195.0
2381,EF,240.0
2367,EF,210.0
2384,EF,220.0
2386,EF,210.0
2387,EF,445.0
2382,EF,340.0
2383,EF,220.0
2388,EF,470.0
2388,VISA,375.0
2390,EF,610.0
2389,EF,520.0
2392,VISA,425.0
2393,EF,170.0
2391,EF,290.0
2371,EF,1515.0
2373,VISA,230.0
2374,EF,60.0
2385,EF,190.0
2395,EF,325.0
2396,EF,210.0
2397,EF,120.0
2406,EF,170.0
2408,EF,200.0
2398,EF,230.0
2399,EF,170.0
2400,VISA,170.0
2401,EF,210.0
2402,VISA,460.0
2405,EF,200.0
2410,VISA,265.0
2411,VISA,550.0
2403,EF,1330.0
2404,EF,260.0
2413,VISA,305.0
2409,EF,445.0
2407,EF,470.0
2417,EF,210.0
2412,EF,380.0
2416,EF,315.0
2414,EF,170.0
2415,EF,385.0
2418,VISA,395.0
2419,VISA,340.0
2421,EF,420.0
2422,EF,230.0
2425,EF,170.0
2423,EF,125.0
2424,EF,650.0
2427,VISA,275.0
2428,EF,210.0
2429,EF,290.0
2430,EF,200.0
2432,EF,170.0
2431,EF,405.0
2433,EF,330.0
2426,EF,490.0
2436,EF,195.0
2438,EF,740.0
2437,EF,195.0
2439,VISA,330.0
2440,EF,630.0
2441,EF,940.0
2442,VISA,455.0
2443,MC,280.0
2443,VISA,380.0
2444,VISA,370.0
2685,EF,230.0
2686,EF,190.0
2687,VISA,360.0
2688,VISA,315.0
2689,EF,305.0
2690,EF,170.0
2691,EF,215.0
2692,VISA,230.0
2694,EF,170.0
2693,EF,90.0
2695,VISA,375.0
2697,EF,315.0
2696,EF,220.0
2698,EF,230.0
2699,EF,370.0
2700,EF,380.0
2702,EF,980.0
2704,EF,710.0
2704,VISA,255.0
2704,MC,410.0
2707,EF,275.0
2703,EF,300.0
2709,VISA,510.0
2711,EF,170.0
2708,EF,240.0
2706,EF,210.0
2705,EF,210.0
2712,EF,210.0
2710,EF,210.0
2741,EF,340.0
2714,EF,260.0
2715,EF,200.0
2745,EF,350.0
2746,EF,395.0
2744,EF,430.0
2739,EF,150.0
2740,EF,340.0
2747,EF,235.0
2748,VISA,210.0
2750,EF,340.0
2755,VISA,410.0
2762,EF,200.0
2764,VISA,525.0
2768,EF,565.0
2742,EF,570.0
2758,EF,195.0
2757,EF,210.0
2756,VISA,460.0
2751,EF,210.0
2753,EF,230.0
2770,VISA,340.0
2752,EF,200.0
2749,EF,300.0
2446,EF,170.0
2447,EF,1680.0
2447,VISA,170.0
2448,EF,230.0
2448,VISA,500.0
2450,EF,400.0
2454,EF,195.0
2449,EF,405.0
2456,EF,170.0
2452,EF,1150.0
2459,EF,220.0
2458,EF,420.0
2461,EF,380.0
2463,VISA,990.0
2465,EF,730.0
2465,VISA,150.0
2466,VISA,455.0
2464,VISA,170.0
2468,EF,1335.0
2469,EF,600.0
2470,VISA,1285.0
2467,VISA,530.0
2473,EF,1985.0
2455,EF,195.0
2451,EF,260.0
2457,VISA,585.0
2453,EF,420.0
2462,EF,230.0
2460,VISA,700.0
2471,EF,375.0
2472,EF,650.0
2491,EF,610.0
2499,VISA,780.0
2500,EF,360.0
2505,VISA,550.0
2503,EF,260.0
