folio,fecha,nopersonas,cambio,descuento,idcliente,tipodeservicio,total,efectivo,tarjeta,totalalimentos,totalbebidas
31,2018-02-03 16:19:48.000,1,0.0,0.0,               ,3,350.0,0.0,350.0,301.7241,0.0
32,2018-02-03 16:21:14.000,1,0.0,0.0,               ,3,630.0,630.0,0.0,543.1034,0.0
33,2018-02-03 16:23:10.000,1,0.0,0.0,               ,3,95.0,95.0,0.0,81.8966,0.0
34,2018-02-03 16:24:37.000,2,0.0,0.0,,1,485.0,0.0,485.0,318.9655,99.1379
35,2018-02-03 17:42:19.000,3,0.0,0.0,,1,810.0,810.0,0.0,344.8276,353.4483
36,2018-02-03 17:47:20.000,3,0.0,0.0,,1,760.0,760.0,0.0,534.4828,120.6897
37,2018-02-03 18:49:23.000,1,0.0,0.0,               ,3,200.0,200.0,0.0,172.4138,0.0
38,2018-02-03 18:58:28.000,1,0.0,0.0,               ,3,710.0,710.0,0.0,612.069,0.0
39,2018-02-03 19:42:43.000,1,0.0,0.0,               ,3,230.0,0.0,230.0,198.2759,0.0
40,2018-02-03 19:43:46.000,1,0.0,0.0,               ,3,280.0,280.0,0.0,198.2759,43.1034
41,2018-02-03 19:47:25.000,1,0.0,0.0,               ,3,200.0,200.0,0.0,172.4138,0.0
42,2018-02-03 20:02:25.000,3,0.0,0.0,,1,620.0,620.0,0.0,344.8276,189.6552
43,2018-02-03 20:03:24.000,2,0.0,0.0,,1,535.0,0.0,588.5,353.4483,107.7586
44,2018-02-03 20:42:25.000,1,0.0,0.0,               ,3,170.0,170.0,0.0,146.5517,0.0
45,2018-02-03 20:45:59.000,1,0.0,0.0,               ,3,170.0,170.0,0.0,146.5517,0.0
46,2018-02-03 20:47:55.000,1,0.0,0.0,               ,3,430.0,430.0,0.0,370.6897,0.0
47,2018-02-03 20:49:40.000,1,0.0,0.0,               ,3,400.0,400.0,0.0,344.8276,0.0
48,2018-02-03 20:51:20.000,1,0.0,0.0,               ,3,280.0,280.0,0.0,198.2759,43.1034
49,2018-02-03 20:52:11.000,9,0.0,0.0,,1,1015.0,0.0,1015.0,560.3448,314.6552
50,2018-02-03 21:15:38.000,1,0.0,0.0,               ,3,230.0,230.0,0.0,198.2759,0.0
51,2018-02-03 21:19:16.000,1,0.0,0.0,               ,3,195.0,195.0,0.0,168.1034,0.0
52,2018-02-03 21:20:20.000,1,0.0,0.0,               ,3,170.0,170.0,0.0,146.5517,0.0
53,2018-02-03 21:21:06.000,1,0.0,0.0,               ,3,170.0,170.0,0.0,146.5517,0.0
54,2018-02-03 21:21:44.000,3,0.0,0.0,,1,260.0,260.0,0.0,146.5517,77.5862
55,2018-02-03 21:43:15.000,1,0.0,0.0,               ,3,210.0,210.0,0.0,181.0345,0.0
56,2018-02-03 22:05:01.000,1,0.0,0.0,               ,3,535.0,535.0,0.0,461.2069,0.0
57,2018-02-03 22:09:26.000,1,0.0,0.0,               ,3,240.0,240.0,0.0,181.0345,0.0
58,2018-02-03 22:29:17.000,1,0.0,0.0,               ,3,200.0,200.0,0.0,172.4138,0.0
60,2018-02-03 22:10:23.000,3,0.0,0.0,,1,0.0,0.0,0.0,0.0,0.0
61,2018-02-04 13:53:30.000,4,0.0,0.0,,1,270.0,0.0,297.0,146.5517,86.2069
62,2018-02-04 14:01:29.000,1,0.0,0.0,               ,3,530.0,0.0,530.0,439.6552,17.2414
63,2018-02-04 14:03:37.000,1,0.0,0.0,               ,3,210.0,210.0,0.0,181.0345,0.0
64,2018-02-04 14:09:55.000,1,0.0,0.0,               ,3,430.0,0.0,430.0,370.6897,0.0
65,2018-02-04 14:12:36.000,1,0.0,0.0,               ,3,310.0,310.0,0.0,241.3793,0.0
66,2018-02-04 14:15:32.000,1,0.0,0.0,               ,3,740.0,740.0,0.0,637.931,0.0
67,2018-02-04 14:38:26.000,1,0.0,0.0,               ,3,210.0,210.0,0.0,181.0345,0.0
68,2018-02-04 15:41:36.000,1,0.0,0.0,               ,3,760.0,760.0,0.0,655.1724,0.0
69,2018-02-04 15:42:25.000,1,0.0,0.0,               ,3,530.0,530.0,0.0,456.8966,0.0
70,2018-02-04 15:43:00.000,1,0.0,0.0,               ,3,200.0,200.0,0.0,172.4138,0.0
71,2018-02-04 15:43:45.000,1,0.0,0.0,               ,3,290.0,290.0,0.0,250.0,0.0
72,2018-02-04 15:44:17.000,4,0.0,0.0,,1,555.0,555.0,0.0,396.5517,81.8966
73,2018-02-04 15:49:57.000,1,0.0,0.0,               ,3,265.0,265.0,0.0,228.4483,0.0
74,2018-02-04 15:52:19.000,3,0.0,0.0,,1,575.0,575.0,0.0,353.4483,142.2414
75,2018-02-04 16:08:01.000,1,0.0,0.0,               ,3,235.0,235.0,0.0,181.0345,21.5517
76,2018-02-04 16:12:10.000,1,0.0,0.0,               ,3,330.0,330.0,0.0,284.4828,0.0
77,2018-02-04 16:13:16.000,1,0.0,0.0,               ,3,170.0,170.0,0.0,146.5517,0.0
78,2018-02-04 16:16:50.000,1,0.0,0.0,000032,2,210.0,210.0,0.0,181.0345,0.0
79,2018-02-04 16:22:17.000,1,0.0,0.0,               ,3,240.0,240.0,0.0,206.8966,0.0
80,2018-02-04 16:31:10.000,3,0.0,0.0,,1,0.0,0.0,0.0,0.0,0.0
81,2018-02-04 16:35:23.000,1,0.0,0.0,               ,3,950.0,450.0,500.0,818.9655,0.0
82,2018-02-04 16:38:49.000,1,0.0,0.0,               ,3,170.0,170.0,0.0,146.5517,0.0
83,2018-02-04 16:47:43.000,1,0.0,0.0,               ,3,380.0,380.0,0.0,301.7241,0.0
84,2018-02-04 16:49:25.000,1,0.0,0.0,               ,3,380.0,380.0,0.0,301.7241,0.0
85,2018-02-04 17:40:34.000,1,0.0,0.0,               ,3,170.0,170.0,0.0,146.5517,0.0
86,2018-02-04 17:54:23.000,1,0.0,0.0,               ,3,380.0,0.0,380.0,327.5862,0.0
87,2018-02-04 17:57:25.000,2,0.0,0.0,,1,245.0,0.0,269.5,172.4138,38.7931
88,2018-02-04 17:58:09.000,2,0.0,0.0,,1,295.0,295.0,0.0,232.7586,21.5517
89,2018-02-04 18:37:32.000,1,0.0,0.0,               ,3,300.0,300.0,0.0,258.6207,0.0
90,2018-02-04 18:39:33.000,1,0.0,0.0,               ,3,230.0,230.0,0.0,198.2759,0.0
91,2018-02-04 19:04:30.000,1,0.0,0.0,               ,3,170.0,170.0,0.0,146.5517,0.0
92,2018-02-04 19:05:00.000,1,0.0,0.0,               ,3,210.0,210.0,0.0,181.0345,0.0
93,2018-02-04 19:10:11.000,3,0.0,0.0,,1,600.0,0.0,600.0,396.5517,120.6897
94,2018-02-04 20:00:17.000,1,0.0,0.0,               ,3,195.0,195.0,0.0,168.1034,0.0
95,2018-02-04 20:01:46.000,1,0.0,0.0,               ,3,250.0,250.0,0.0,215.5172,0.0
96,2018-02-04 20:02:23.000,1,0.0,0.0,               ,3,230.0,230.0,0.0,198.2759,0.0
97,2018-02-04 20:03:04.000,1,0.0,0.0,               ,3,170.0,170.0,0.0,146.5517,0.0
98,2018-02-04 20:03:40.000,1,0.0,0.0,               ,3,210.0,210.0,0.0,181.0345,0.0
99,2018-02-04 20:09:26.000,1,0.0,0.0,               ,3,405.0,405.0,0.0,349.1379,0.0
100,2018-02-04 20:25:16.000,1,0.0,0.0,               ,3,460.0,0.0,460.0,396.5517,0.0
101,2018-02-04 20:30:14.000,1,0.0,0.0,               ,3,190.0,190.0,0.0,163.7931,0.0
102,2018-02-04 20:53:30.000,1,0.0,0.0,               ,3,210.0,210.0,0.0,181.0345,0.0
103,2018-02-04 21:22:17.000,1,0.0,0.0,               ,3,230.0,230.0,0.0,198.2759,0.0
105,2018-02-05 13:42:53.000,1,0.0,0.0,               ,3,1270.0,1270.0,0.0,1000.0,94.8276
106,2018-02-05 13:57:24.000,1,0.0,0.0,               ,3,170.0,170.0,0.0,146.5517,0.0
107,2018-02-05 13:59:53.000,1,0.0,0.0,               ,3,170.0,170.0,0.0,146.5517,0.0
108,2018-02-05 14:56:34.000,3,0.0,0.0,,1,565.0,565.0,0.0,413.7931,73.2759
109,2018-02-05 14:58:48.000,1,0.0,0.0,               ,3,170.0,170.0,0.0,146.5517,0.0
110,2018-02-05 14:59:55.000,1,0.0,0.0,               ,3,550.0,550.0,0.0,474.1379,0.0
111,2018-02-05 15:02:28.000,1,0.0,0.0,               ,3,470.0,470.0,0.0,318.9655,86.2069
112,2018-02-05 15:02:56.000,1,0.0,0.0,               ,3,340.0,340.0,0.0,293.1034,0.0
113,2018-02-05 15:04:23.000,1,0.0,0.0,               ,3,610.0,610.0,0.0,525.8621,0.0
114,2018-02-05 15:08:19.000,3,0.0,0.0,,1,400.0,0.0,440.0,250.0,94.8276
115,2018-02-05 15:10:14.000,1,0.0,0.0,               ,3,330.0,330.0,0.0,284.4828,0.0
116,2018-02-05 15:12:03.000,2,0.0,0.0,,1,495.0,495.0,0.0,267.2414,159.4828
117,2018-02-05 15:16:26.000,1,0.0,0.0,               ,3,170.0,170.0,0.0,146.5517,0.0
118,2018-02-05 15:21:42.000,6,0.0,0.0,,1,550.0,550.0,0.0,327.5862,146.5517
119,2018-02-05 15:39:15.000,2,0.0,0.0,,1,345.0,345.0,0.0,198.2759,99.1379
120,2018-02-05 15:44:34.000,2,0.0,0.0,,1,405.0,405.0,0.0,267.2414,81.8966
121,2018-02-05 15:48:21.000,3,0.0,0.0,,1,655.0,655.0,0.0,500.0,64.6552
122,2018-02-05 16:05:07.000,1,0.0,0.0,               ,3,170.0,170.0,0.0,146.5517,0.0
123,2018-02-05 16:09:54.000,1,0.0,0.0,               ,3,250.0,0.0,250.0,215.5172,0.0
124,2018-02-05 16:11:31.000,1,0.0,0.0,               ,3,170.0,170.0,0.0,146.5517,0.0
125,2018-02-05 16:12:39.000,3,0.0,0.0,,1,640.0,640.0,0.0,366.3793,185.3448
126,2018-02-05 16:14:56.000,3,0.0,0.0,,1,520.0,520.0,0.0,357.7586,90.5172
127,2018-02-05 16:20:19.000,1,0.0,0.0,               ,3,370.0,370.0,0.0,275.8621,43.1034
128,2018-02-05 16:36:08.000,1,0.0,0.0,               ,3,240.0,240.0,0.0,181.0345,0.0
129,2018-02-05 16:47:48.000,2,0.0,0.0,,1,0.0,0.0,0.0,0.0,0.0
130,2018-02-05 16:52:50.000,7,0.0,0.0,,1,1280.0,0.0,1472.0,767.2414,336.2069
131,2018-02-05 17:33:56.000,3,0.0,0.0,,1,425.0,0.0,467.5,293.1034,73.2759
132,2018-02-05 17:35:32.000,2,0.0,0.0,,1,440.0,440.0,0.0,301.7241,77.5862
133,2018-02-05 17:36:55.000,5,0.0,0.0,,1,1270.0,0.0,1397.0,836.2069,258.6207
134,2018-02-05 17:40:15.000,1,0.0,0.0,               ,3,230.0,230.0,0.0,198.2759,0.0
135,2018-02-05 18:07:35.000,2,0.0,0.0,,1,200.0,200.0,0.0,172.4138,0.0
136,2018-02-05 18:09:21.000,2,0.0,0.0,,1,455.0,455.0,0.0,310.3448,81.8966
137,2018-02-05 18:12:30.000,1,0.0,0.0,,1,2060.0,0.0,2266.0,706.8966,1068.9655
138,2018-02-05 18:17:47.000,1,0.0,0.0,               ,3,650.0,0.0,700.0,560.3448,0.0
139,2018-02-05 18:56:58.000,1,0.0,0.0,               ,3,330.0,330.0,0.0,284.4828,0.0
140,2018-02-05 19:05:02.000,3,95.0,0.0,,1,405.0,405.0,0.0,250.0,99.1379
141,2018-02-05 19:07:28.000,2,20.0,0.0,,1,780.0,780.0,0.0,422.4138,250.0
142,2018-02-05 19:26:45.000,1,130.0,0.0,               ,3,570.0,570.0,0.0,491.3793,0.0
143,2018-02-05 19:27:57.000,1,0.0,0.0,               ,3,200.0,200.0,0.0,172.4138,0.0
144,2018-02-05 19:29:51.000,1,0.0,0.0,               ,3,560.0,560.0,0.0,482.7586,0.0
145,2018-02-05 19:34:10.000,1,70.0,0.0,               ,3,230.0,230.0,0.0,198.2759,0.0
146,2018-02-05 19:43:34.000,1,260.0,0.0,               ,3,240.0,240.0,0.0,181.0345,0.0
147,2018-02-05 20:21:52.000,1,30.0,0.0,               ,3,170.0,170.0,0.0,146.5517,0.0
148,2018-02-05 20:22:54.000,1,20.0,0.0,               ,3,230.0,230.0,0.0,198.2759,0.0
149,2018-02-05 20:23:43.000,4,0.0,0.0,,1,625.0,0.0,625.0,396.5517,142.2414
150,2018-02-05 20:24:59.000,4,0.0,0.0,,1,0.0,0.0,0.0,0.0,0.0
151,2018-02-05 20:35:41.000,1,300.0,0.0,               ,3,200.0,200.0,0.0,172.4138,0.0
152,2018-02-05 20:39:14.000,1,0.0,0.0,               ,3,230.0,230.0,0.0,198.2759,0.0
153,2018-02-05 20:42:32.000,3,45.0,0.0,,1,325.0,325.0,0.0,172.4138,107.7586
154,2018-02-05 21:22:38.000,1,0.0,0.0,               ,3,320.0,0.0,320.0,275.8621,0.0
155,2018-02-05 21:23:53.000,1,0.0,0.0,               ,3,465.0,0.0,465.0,379.3103,21.5517
157,2018-02-06 19:17:36.000,1,0.0,0.0,               ,3,330.0,0.0,330.0,284.4828,0.0
158,2018-02-06 19:39:40.000,1,0.0,0.0,               ,3,210.0,0.0,210.0,181.0345,0.0
159,2018-02-06 20:19:39.000,1,0.0,0.0,               ,3,350.0,0.0,350.0,271.5517,30.1724
160,2018-02-06 20:21:06.000,1,0.0,0.0,               ,3,330.0,0.0,330.0,284.4828,0.0
161,2018-02-06 20:21:49.000,1,30.0,0.0,               ,3,170.0,170.0,0.0,146.5517,0.0
162,2018-02-06 20:33:05.000,2,0.0,0.0,000033,1,335.0,335.0,0.0,198.2759,90.5172
163,2018-02-06 20:36:39.000,1,0.0,0.0,               ,3,410.0,410.0,0.0,353.4483,0.0
164,2018-02-06 20:57:48.000,1,0.0,0.0,               ,3,460.0,460.0,0.0,396.5517,0.0
165,2018-02-06 20:59:21.000,4,0.0,0.0,000033,1,770.0,770.0,0.0,327.5862,336.2069
166,2018-02-06 21:06:08.000,1,0.0,0.0,               ,3,460.0,460.0,0.0,396.5517,0.0
167,2018-02-06 21:28:52.000,1,0.0,0.0,               ,3,170.0,170.0,0.0,146.5517,0.0
168,2018-02-06 22:12:23.000,3,0.0,0.0,000033,1,565.0,565.0,0.0,396.5517,90.5172
169,2018-02-06 22:33:36.000,1,0.0,0.0,000033,1,310.0,341.0,0.0,198.2759,68.9655
170,2018-02-06 22:36:16.000,2,0.0,0.0,000033,1,800.0,0.0,880.0,500.0,189.6552
171,2018-02-06 22:40:25.000,1,0.0,0.0,000033,1,120.0,120.0,0.0,103.4483,0.0
173,2018-02-07 19:02:38.000,1,0.0,0.0,               ,3,210.0,210.0,0.0,181.0345,0.0
174,2018-02-07 21:16:20.000,1,0.0,0.0,               ,3,365.0,365.0,0.0,314.6552,0.0
175,2018-02-07 21:33:20.000,1,0.0,0.0,               ,3,300.0,300.0,0.0,198.2759,60.3448
176,2018-02-07 21:35:19.000,1,0.0,0.0,               ,3,260.0,260.0,0.0,198.2759,0.0
177,2018-02-07 21:37:33.000,2,0.0,0.0,000033,1,415.0,0.0,415.0,224.1379,133.6207
178,2018-02-07 21:41:50.000,4,0.0,0.0,000033,1,690.0,0.0,759.0,344.8276,250.0
179,2018-02-07 21:50:24.000,1,0.0,0.0,               ,3,240.0,240.0,0.0,181.0345,0.0
180,2018-02-07 21:53:36.000,3,0.0,0.0,000033,1,220.0,220.0,0.0,146.5517,43.1034
181,2018-02-07 21:58:16.000,1,0.0,0.0,               ,3,210.0,210.0,0.0,181.0345,0.0
182,2018-02-07 22:00:19.000,1,0.0,0.0,               ,3,600.0,600.0,0.0,517.2414,0.0
183,2018-02-07 22:01:20.000,4,0.0,0.0,000033,1,970.0,0.0,970.0,413.7931,422.4138
184,2018-02-07 22:08:37.000,3,0.0,0.0,000033,1,470.0,470.0,0.0,250.0,155.1724
185,2018-02-07 22:57:55.000,1,0.0,0.0,               ,3,210.0,210.0,0.0,181.0345,0.0
187,2018-02-08 14:30:35.000,3,0.0,0.0,000033,1,725.0,725.0,0.0,482.7586,142.2414
188,2018-02-08 14:36:01.000,2,0.0,0.0,000033,1,250.0,0.0,287.5,172.4138,43.1034
189,2018-02-08 15:42:10.000,4,0.0,0.0,000033,1,625.0,0.0,687.5,448.2759,90.5172
190,2018-02-08 15:59:10.000,1,0.0,0.0,000034,2,200.0,0.0,200.0,172.4138,0.0
191,2018-02-08 16:06:40.000,1,70.0,0.0,000035,2,230.0,230.0,0.0,198.2759,0.0
192,2018-02-08 16:41:28.000,2,0.0,0.0,000001,1,0.0,0.0,0.0,0.0,0.0
193,2018-02-08 17:43:51.000,1,0.0,0.0,               ,3,130.0,130.0,0.0,112.069,0.0
194,2018-02-08 17:47:41.000,1,240.0,0.0,000036,2,260.0,260.0,0.0,198.2759,0.0
195,2018-02-08 18:01:16.000,2,0.0,100.0,000031,1,0.0,0.0,0.0,0.0,0.0
196,2018-02-08 18:07:52.000,2,0.0,100.0,000037,1,0.0,0.0,0.0,0.0,0.0
197,2018-02-08 19:03:47.000,1,0.0,0.0,               ,3,360.0,360.0,0.0,310.3448,0.0
198,2018-02-08 20:23:06.000,1,0.0,0.0,               ,3,210.0,210.0,0.0,181.0345,0.0
199,2018-02-08 20:25:09.000,1,0.0,0.0,               ,3,410.0,410.0,0.0,353.4483,0.0
200,2018-02-08 20:26:28.000,2,0.0,0.0,000033,1,510.0,510.0,0.0,387.931,51.7241
201,2018-02-08 20:38:17.000,2,95.0,0.0,000033,1,405.0,405.0,0.0,250.0,99.1379
202,2018-02-08 20:53:23.000,2,0.0,0.0,000033,1,480.0,480.0,0.0,370.6897,43.1034
203,2018-02-08 20:55:51.000,3,0.0,0.0,000033,1,690.0,690.0,0.0,250.0,344.8276
204,2018-02-08 21:10:20.000,2,0.0,0.0,000033,1,250.0,250.0,0.0,86.2069,129.3103
205,2018-02-08 21:26:22.000,4,0.0,0.0,000033,1,945.0,0.0,945.0,431.0345,383.6207
206,2018-02-08 21:27:50.000,2,0.0,0.0,000033,1,380.0,380.0,0.0,267.2414,60.3448
207,2018-02-08 21:30:04.000,2,0.0,0.0,000033,1,0.0,0.0,0.0,0.0,0.0
208,2018-02-08 21:33:22.000,6,0.0,0.0,000033,1,1685.0,1685.0,0.0,500.0,952.5862
209,2018-02-08 21:49:19.000,1,0.0,0.0,               ,3,170.0,170.0,0.0,146.5517,0.0
210,2018-02-08 22:14:38.000,1,0.0,0.0,               ,3,210.0,210.0,0.0,181.0345,0.0
211,2018-02-08 22:28:16.000,1,0.0,0.0,               ,3,510.0,510.0,0.0,439.6552,0.0
212,2018-02-08 22:52:37.000,2,0.0,0.0,000033,1,500.0,500.0,0.0,250.0,181.0345
213,2018-02-08 23:15:24.000,2,0.0,100.0,000033,1,0.0,0.0,0.0,0.0,0.0
215,2018-02-08 20:30:17.000,1,0.0,0.0,000003,2,0.0,0.0,0.0,0.0,0.0
216,2018-02-09 14:33:45.000,1,30.0,0.0,000038,2,170.0,170.0,0.0,146.5517,0.0
217,2018-02-09 14:51:39.000,1,0.0,0.0,000039,2,170.0,170.0,0.0,146.5517,0.0
218,2018-02-09 14:59:20.000,1,0.0,0.0,000040,2,490.0,490.0,0.0,422.4138,0.0
219,2018-02-09 15:03:24.000,1,0.0,0.0,000041,2,730.0,730.0,0.0,603.4483,0.0
220,2018-02-09 15:38:43.000,1,0.0,0.0,000033,1,485.0,0.0,533.5,327.5862,90.5172
221,2018-02-09 16:06:25.000,1,0.0,0.0,000042,2,290.0,290.0,0.0,224.1379,0.0
222,2018-02-09 17:11:53.000,1,0.0,0.0,000039,2,210.0,210.0,0.0,181.0345,0.0
223,2018-02-09 17:22:48.000,1,0.0,0.0,000033,1,300.0,150.0,150.0,172.4138,86.2069
224,2018-02-09 18:06:22.000,1,0.0,0.0,000043,2,340.0,340.0,0.0,293.1034,0.0
225,2018-02-09 20:08:56.000,1,0.0,0.0,000044,2,210.0,210.0,0.0,181.0345,0.0
226,2018-02-09 20:14:08.000,1,0.0,0.0,               ,3,220.0,220.0,0.0,189.6552,0.0
227,2018-02-09 20:16:54.000,1,0.0,0.0,               ,3,170.0,170.0,0.0,146.5517,0.0
228,2018-02-09 20:20:09.000,1,0.0,0.0,000045,2,480.0,480.0,0.0,413.7931,0.0
229,2018-02-09 20:25:33.000,1,0.0,0.0,000046,2,260.0,260.0,0.0,198.2759,0.0
230,2018-02-09 20:31:48.000,1,0.0,0.0,               ,3,170.0,170.0,0.0,146.5517,0.0
231,2018-02-09 20:33:15.000,1,0.0,0.0,               ,3,440.0,440.0,0.0,379.3103,0.0
232,2018-02-09 20:48:01.000,1,0.0,0.0,000047,2,490.0,490.0,0.0,422.4138,0.0
233,2018-02-09 20:54:14.000,1,0.0,0.0,000048,2,120.0,120.0,0.0,103.4483,0.0
234,2018-02-09 21:06:48.000,1,0.0,0.0,000049,2,770.0,770.0,0.0,663.7931,0.0
235,2018-02-09 21:12:09.000,1,0.0,0.0,000050,2,440.0,440.0,0.0,379.3103,0.0
236,2018-02-09 21:16:54.000,1,0.0,0.0,000051,2,210.0,210.0,0.0,181.0345,0.0
237,2018-02-09 21:20:50.000,1,0.0,0.0,000033,1,395.0,395.0,0.0,172.4138,168.1034
238,2018-02-09 21:23:33.000,1,0.0,0.0,000033,1,290.0,290.0,0.0,198.2759,51.7241
239,2018-02-09 21:36:47.000,1,0.0,0.0,000052,2,290.0,290.0,0.0,250.0,0.0
240,2018-02-09 21:39:39.000,1,0.0,0.0,000033,1,345.0,345.0,0.0,275.8621,21.5517
241,2018-02-09 21:42:29.000,1,0.0,0.0,000033,1,595.0,0.0,654.5,336.2069,176.7241
242,2018-02-09 21:50:57.000,1,0.0,0.0,000053,2,395.0,395.0,0.0,340.5172,0.0
243,2018-02-09 21:53:44.000,1,0.0,0.0,000033,1,355.0,355.0,0.0,103.4483,202.5862
244,2018-02-09 21:56:25.000,1,0.0,0.0,000033,1,375.0,375.0,0.0,198.2759,125.0
245,2018-02-09 21:59:58.000,1,0.0,0.0,000033,1,585.0,585.0,0.0,301.7241,202.5862
246,2018-02-09 22:04:03.000,1,0.0,0.0,000054,2,260.0,260.0,0.0,198.2759,0.0
247,2018-02-09 22:11:25.000,1,0.0,0.0,000033,1,25.0,25.0,0.0,0.0,21.5517
248,2018-02-09 22:22:52.000,1,0.0,0.0,2299017647,2,400.0,400.0,0.0,344.8276,0.0
249,2018-02-09 22:43:18.000,1,0.0,0.0,000056,2,210.0,210.0,0.0,181.0345,0.0
250,2018-02-09 23:25:19.000,1,0.0,0.0,000057,2,210.0,210.0,0.0,181.0345,0.0
252,2018-02-10 13:59:53.000,1,0.0,0.0,000058,2,405.0,405.0,0.0,284.4828,64.6552
253,2018-02-10 14:06:06.000,1,0.0,0.0,               ,3,970.0,970.0,0.0,836.2069,0.0
254,2018-02-10 14:08:24.000,1,0.0,0.0,000059,2,210.0,210.0,0.0,181.0345,0.0
255,2018-02-10 14:18:19.000,1,0.0,0.0,               ,3,640.0,640.0,0.0,551.7241,0.0
256,2018-02-10 14:30:08.000,1,0.0,0.0,000060,2,360.0,360.0,0.0,310.3448,0.0
257,2018-02-10 14:35:29.000,1,0.0,0.0,000033,1,605.0,0.0,605.0,439.6552,81.8966
258,2018-02-10 14:46:00.000,1,0.0,0.0,000061,2,200.0,200.0,0.0,172.4138,0.0
259,2018-02-10 14:50:31.000,1,0.0,0.0,000062,2,450.0,450.0,0.0,362.069,0.0
260,2018-02-10 14:58:36.000,1,0.0,100.0,               ,3,0.0,0.0,0.0,0.0,0.0
261,2018-02-10 15:05:09.000,1,0.0,0.0,               ,3,200.0,200.0,0.0,172.4138,0.0
262,2018-02-10 15:12:16.000,1,0.0,0.0,000033,1,580.0,0.0,637.5,362.069,137.931
263,2018-02-10 15:24:37.000,1,0.0,0.0,000063,2,170.0,170.0,0.0,146.5517,0.0
264,2018-02-10 15:29:41.000,1,0.0,0.0,000033,1,1245.0,1245.0,0.0,594.8276,478.4483
265,2018-02-10 15:34:34.000,1,0.0,0.0,000033,1,650.0,0.0,715.0,250.0,310.3448
266,2018-02-10 15:57:16.000,1,0.0,0.0,               ,3,210.0,0.0,210.0,181.0345,0.0
267,2018-02-10 16:22:52.000,1,0.0,0.0,000064,2,220.0,220.0,0.0,146.5517,43.1034
268,2018-02-10 16:32:00.000,1,0.0,0.0,000033,1,595.0,0.0,675.0,435.3448,77.5862
269,2018-02-10 16:57:04.000,1,0.0,0.0,000033,1,380.0,380.0,0.0,284.4828,43.1034
270,2018-02-10 17:00:55.000,1,0.0,0.0,000065,2,220.0,220.0,0.0,163.7931,0.0
271,2018-02-10 17:16:07.000,1,0.0,0.0,000066,2,230.0,230.0,0.0,198.2759,0.0
